source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,l,b,teff_val,a_g_val
1995012141499520640,359.2204448302674,0.09409006185878958,56.67126683660745,0.0971313582370857,0.20171208824364972,0.1327583026509263,17.544033,1.1700764,,,NOT_AVAILABLE,115.45425768147584,-5.406330586543145,,
1995059764098605312,359.034132735725,0.053523921740188066,56.68116555884424,0.04857854661367418,0.36231524098033446,0.07871925496240846,17.031126,1.1036129,,,NOT_AVAILABLE,115.35590021877033,-5.374937004480711,4967.51,0.8045
1995021173806096512,359.57479072255774,0.16000747701749543,56.83136275283088,0.11023017474225474,0.4274078167193638,0.19141467833117637,18.404396,1.3124332,,,NOT_AVAILABLE,115.67857452034514,-5.290167980752215,,
1995059867177820288,359.0634254019716,0.02048643264016585,56.68799687737876,0.0185276696825294,0.48761852756390406,0.028710822388111974,14.811928,0.8983774,,,NOT_AVAILABLE,115.3731521229176,-5.371696266655207,5612.1,
1995012622535590400,359.1086414655317,0.019184597044615254,56.66431530432966,0.016096794089053314,0.31187600532820436,0.025630000259960983,14.299273,0.9077215,,,NOT_AVAILABLE,115.39246848917179,-5.4001220721281245,5476.56,
1995012759974810624,359.15819586480865,0.04802441151604371,56.65765160141945,0.03925360288735885,0.2807770650276865,0.06365662834655565,16.66999,1.173871,,,NOT_AVAILABLE,115.41778252056122,-5.412411155597751,4894.0,
1995059484913474432,359.0526908904866,0.09253480179556635,56.65802789019168,0.07696030694828171,0.3893333433449382,0.1360408088409085,17.839804,1.1319828,,,NOT_AVAILABLE,115.36094515348984,-5.399718148947748,,
1995037155390236288,358.97080129048265,0.04618227615079605,56.68754398980107,0.04125544196482792,0.642306836605913,0.06897658778108037,16.467176,1.1644125,,,NOT_AVAILABLE,115.32314378938135,-5.361259347020097,4920.0,0.7763
1995059729738866688,359.0219069780398,0.020909766188097936,56.67896004750259,0.01886903906087335,0.458410502588971,0.029418583873363862,12.775556,1.4284086,-54.033243617410555,1.0905629353709885,NOT_AVAILABLE,115.34883720006032,-5.3756563608140455,4754.335,0.4183
1995021384269010560,359.5655100056356,0.025950046744841263,56.838410468465945,0.021957693628905667,0.4331364043354539,0.03353487193249547,15.353617,1.0879784,,,NOT_AVAILABLE,115.67503872396438,-5.282227515321504,5044.2,
1995009976836138240,359.2529257572674,0.06065369113291048,56.59260292182687,0.060723634627548415,0.32501847341060924,0.09275605428526933,17.22748,1.1863022,,,NOT_AVAILABLE,115.45516207737023,-5.48699259143878,,
1995014340523205504,359.49322372422296,0.03176901982166508,56.77043748981582,0.02536681261136952,0.4192478314872223,0.0407265596736737,15.644493,1.0528831,,,NOT_AVAILABLE,115.62207622333356,-5.340585415855657,5086.465,
1995021590427440640,359.64034186293406,0.04842452511061108,56.85592325341561,0.041953270110108895,0.3532717174623987,0.06758903368693055,16.775408,1.206234,,,NOT_AVAILABLE,115.71886872770484,-5.273473943195314,4917.0,1.086
1995013962565654016,359.4642168697688,0.019679214042407658,56.7261707380076,0.015519748405601478,0.46043512449748675,0.025019760180852096,14.618659,0.8301897,,,NOT_AVAILABLE,115.59724937608839,-5.380604423301667,5753.0,
1995035952799456768,358.9608550113497,0.06957851530229875,56.62729629061242,0.06313671030619065,0.06256966155534346,0.10618597647770976,17.312834,1.3317337,,,NOT_AVAILABLE,115.30479077563594,-5.418929196003363,,
1995015474394279296,359.52214376017963,0.05059005680086565,56.651251769721114,0.04295925101710464,0.3674737599264941,0.06938172259101846,16.862183,1.1595917,,,NOT_AVAILABLE,115.61296222738895,-5.460480636923195,4879.0,0.999
1995021654842606848,359.6960559669461,0.12853766122871463,56.86358402394104,0.08766837932660192,0.49811904431694454,0.152935489645801,18.019037,1.2145882,,,NOT_AVAILABLE,115.75038267327731,-5.272186520246622,,
1995014340523205376,359.49411663288134,0.101594204244722,56.77224573047709,0.07626148690111677,0.2103457977616516,0.12657623678779625,17.872782,1.2762337,,,NOT_AVAILABLE,115.62293231835592,-5.338917304662859,,
1995037155390234624,358.9712910899511,0.02532685536100481,56.68897932917226,0.02037746584328895,0.48806962768581214,0.03360721255831826,11.3963995,1.7354412,-52.11943073882374,0.2590780004882722,NOT_AVAILABLE,115.32371699866015,-5.359915153490017,4114.48,0.7163
1995016642625293696,359.5071558011338,0.016453935114363785,56.70867154724012,0.01473129462337681,0.13384902978233193,0.021132957548049735,14.088619,1.5184717,-80.54618647188138,8.448318175641392,NOT_AVAILABLE,115.61677172427436,-5.4025977145472694,4443.0,0.1725
1995012519456374784,359.02398100299183,0.020142984107310455,56.64516484409423,0.017785393055432554,0.8138441380414076,0.029106861561722458,14.976624,1.0195503,,,NOT_AVAILABLE,115.34269846799378,-5.408913897695723,5299.59,0.719
1995013133626630656,359.21384771000413,0.12530168451939827,56.702994675711196,0.09030507325319026,-0.20079458695647212,0.1578287195881409,18.114399,1.1665154,,,NOT_AVAILABLE,115.45741957069964,-5.374552070311111,,
1995041793954768000,358.9466709415207,0.06839055384127557,56.80232212339878,0.06017585993896835,1.1642032113572278,0.09350456839616829,17.341263,2.0245132,,,NOT_AVAILABLE,115.33491696018234,-5.2463172318066675,,
1995017295460279936,359.7288801321965,0.024062601554778802,56.7828505683312,0.02222319014528362,1.2463592040095977,0.033831834175033056,15.298883,1.204298,,,NOT_AVAILABLE,115.75156153927882,-5.354885687874733,4888.0,0.5123
1995012553816113536,359.03834662584063,0.023311935805894076,56.648256008214,0.018590663582698445,1.7844702454965518,0.03240470538649678,14.987415,1.3110533,,,NOT_AVAILABLE,115.3511122283601,-5.407581735592602,4726.58,0.5015
1995013893846182272,359.3790344074377,0.025919684293452164,56.70431843047697,0.021876165661389533,0.4676752072659325,0.03436501889644937,15.360257,1.0277681,,,NOT_AVAILABLE,115.54675848245203,-5.392268422564656,5165.25,
1995020456556145024,359.6742274997634,0.02727050202965235,56.807285446849605,0.02280802245056583,0.38600570059103184,0.03543267368585718,15.531003,1.0055294,,,NOT_AVAILABLE,115.72712382703992,-5.324872006759557,5229.777,1.567
1995021384269010048,359.5860316813673,0.024500358161674306,56.844710569961876,0.02172605394530902,0.5347472838975503,0.03476295511092019,14.898231,0.930171,,,NOT_AVAILABLE,115.68737009239136,-5.27836683006168,5296.378,1.539
